TRAVEL_ID,TRAVELER_ID,TRAVEL_PURPOSE,MVMN_NM,AGE_GRP,GENDER,TRAVEL_STYL_1,TRAVEL_MOTIVE_1,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_DAYS,VISIT_AREA_NM,ROAD_ADDR,X_COORD,Y_COORD
c_c011995,c011995,21;22;26;,자가용,20,여,6,1.0,3인 이상 여행(가족 외),1,격포어촌계회센터 A동,전북 부안군,126.4702994,35.62343241
c_c011995,c011995,21;22;26;,자가용,20,여,6,1.0,3인 이상 여행(가족 외),1,내소사,전북 부안군,126.5874423,35.6179889
c_c011995,c011995,21;22;26;,자가용,20,여,6,1.0,3인 이상 여행(가족 외),1,채석강,전북 부안군,126.4660641,35.62423568
c_c011995,c011995,21;22;26;,자가용,20,여,6,1.0,3인 이상 여행(가족 외),1,마르,전북 부안군,126.4670083,35.60703625
c_c011995,c011995,21;22;26;,자가용,20,여,6,1.0,3인 이상 여행(가족 외),1,이디야 부안내소사점,전북 부안군,126.5888366,35.61167747
c_c008882,c008882,2;6;,자가용,40,남,1,3.0,자녀 동반 여행,1,궁촌마을,경기 용인시,127.1647408,37.23969502
c_c008882,c008882,2;6;,자가용,40,남,1,3.0,자녀 동반 여행,1,예당호휴게소,충남 예산군,126.7970919,36.63314963
c_c008882,c008882,2;6;,자가용,40,남,1,3.0,자녀 동반 여행,1,대흥식당,충남 예산군,126.8147673,36.62920621
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,11번가,광주 동구,126.9174054,35.14706068
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,궁전제과 충장점,광주 동구,126.9176329,35.14772424
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,더플레인,광주 동구,126.9193301,35.14938028
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,마요네즈 구시청점,광주 동구,126.916852,35.14520169
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,국립아시아문화전당,광주 동구,126.9213535,35.14733372
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,구시청사거리,광주 동구,126.9172316,35.14526505
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,청춘덮밥,광주 동구,126.916223,35.14859939
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,무등갤러리,광주 동구,126.9182023,35.15015559
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,목포종합버스터미널,전남 목포시,126.4178119,34.81274021
c_c012638,c012638,26;1;22;7;24;6;6;9;,자가용,20,여,4,3.0,2인 여행(가족 외),2,리젠시,광주 동구,126.9186599,35.14136222
c_c011983,c011983,22;23;26;4;,자가용,20,여,4,3.0,3인 이상 여행(가족 외),2,여수해상케이블카,전남 여수시,127.741531,34.73059148
c_c011983,c011983,22;23;26;4;,자가용,20,여,4,3.0,3인 이상 여행(가족 외),2,노랑고래찹쌀꽈배기 여수중앙점,전남 여수시,127.7357999,34.74130238
c_c011983,c011983,22;23;26;4;,자가용,20,여,4,3.0,3인 이상 여행(가족 외),2,벌곡휴게소 논산방향,충남 논산시,127.2734138,36.21799989
c_c011983,c011983,22;23;26;4;,자가용,20,여,4,3.0,3인 이상 여행(가족 외),2,여수딸기앙모찌 돌산점,전남 여수시,127.7451182,34.72639432
c_c011983,c011983,22;23;26;4;,자가용,20,여,4,3.0,3인 이상 여행(가족 외),2,롯데마트 여수점,전남 여수시,127.721515,34.7285267
c_c011983,c011983,22;23;26;4;,자가용,20,여,4,3.0,3인 이상 여행(가족 외),2,라마다 여수해상짚트랙,전남 여수시,127.7481735,34.71674777
c_c011983,c011983,22;23;26;4;,자가용,20,여,4,3.0,3인 이상 여행(가족 외),2,아모르펜션,전남 여수시,127.7215877,34.64231952
c_c011983,c011983,22;23;26;4;,자가용,20,여,4,3.0,3인 이상 여행(가족 외),2,여수수산물특화시장,전남 여수시,127.7329396,34.73692442
c_c011983,c011983,22;23;26;4;,자가용,20,여,4,3.0,3인 이상 여행(가족 외),2,순심원,전남 여수시,127.7344752,34.73980865
c_c012367,c012367,1;2;3;4;5;,자가용,20,여,1,2.0,나홀로 여행,1,천안역,충남 천안시,127.1469567,36.80908431
c_c012367,c012367,1;2;3;4;5;,자가용,20,여,1,2.0,나홀로 여행,1,신세계백화점 천안아산점,충남 천안시,127.1560663,36.81948953
b_b006673,b006673,22;26;21;24;,자가용,40,여,1,2.0,2인 여행(가족 외),1,오스갤러리,전북 완주군,127.2397998,35.9048306
b_b006673,b006673,22;26;21;24;,자가용,40,여,1,2.0,2인 여행(가족 외),1,서울 중랑구 용마산로 616,서울특별시 중랑구,127.1012262,37.60493329
b_b006673,b006673,22;26;21;24;,자가용,40,여,1,2.0,2인 여행(가족 외),1,이르리,전북 전주시,127.1528472,35.8137956
b_b006673,b006673,22;26;21;24;,자가용,40,여,1,2.0,2인 여행(가족 외),1,영숙백숙,전북 완주군,127.2764331,35.97061988
b_b006673,b006673,22;26;21;24;,자가용,40,여,1,2.0,2인 여행(가족 외),1,전동성당,전북 전주시,127.1492215,35.8133288
b_b006673,b006673,22;26;21;24;,자가용,40,여,1,2.0,2인 여행(가족 외),1,연화정도서관,전북 전주시,127.1234734,35.84904423
b_b006673,b006673,22;26;21;24;,자가용,40,여,1,2.0,2인 여행(가족 외),1,한벽굴,전북 전주시,127.1609963,35.81200497
c_c012881,c012881,1;,자가용,20,여,4,1.0,2인 여행(가족 외),2,성심당 본점,대전 중구,127.4272984,36.32766877
c_c012881,c012881,1;,자가용,20,여,4,1.0,2인 여행(가족 외),2,기안파인골드빌아파트,전북 익산시,127.0150768,35.9640699
c_c012881,c012881,1;,자가용,20,여,4,1.0,2인 여행(가족 외),2,아썸타워,대전 동구,127.4447137,36.33280322
c_c012881,c012881,1;,자가용,20,여,4,1.0,2인 여행(가족 외),2,갤러리아백화점 타임월드점,대전 서구,127.3781779,36.35181279
